Month,London,Manchester,Newcastle,Portsmouth
01,1505,36,995,1093
02,1553,10,889,1003
03,1896,13,1201,1314
04,1938,17,1141,1335
05,2326,8,1343,1422
06,2519,38,1458,1439
07,2453,71,1515,1355
08,2330,61,1705,1421
09,2261,40,1463,1447
10,2594,52,1715,1496
11,2550,54,1692,1599
12,2301,40,1544,1389
